,Q1,Q3,IQR,Outliers,%
SiO2_Content_%,1.72,5.18,3.46,0.0,0.0
Curing_Agent_Ratio,0.902,1.101,0.19899999999999995,0.0,0.0
Coating_Thickness_um,72.8,157.1,84.3,0.0,0.0
Coating_Age_days,22.1,66.7,44.6,0.0,0.0
Surface_Prep_Quality_0_100,25.175,75.7,50.525000000000006,0.0,0.0
Temperature_C,35.2,65.4,30.200000000000003,0.0,0.0
Humidity_percent,53.5,80.8,27.299999999999997,0.0,0.0
pH,4.95,9.0,4.05,0.0,0.0
Chloride_Concentration_ppm,8715.5,26174.25,17458.75,0.0,0.0
Dissolved_Oxygen_ppm,2.47,7.5,5.029999999999999,0.0,0.0
Sulfide_H2S_ppm,124.8,378.225,253.425,0.0,0.0
Applied_Potential_mV_vs_SCE,-605.0,-193.0,412.0,0.0,0.0
Exposure_Time_hours,2223.575,6523.625,4300.05,0.0,0.0
