,count,mean,std,min,5%,25%,50%,75%,95%,max,skewness,kurtosis
SiO2_Content_%,10000.0,3.4591220000000003,2.0134628311377485,0.0,0.35,1.72,3.45,5.18,6.63,7.0,0.024871394899957606,-1.1892415576778943
Epoxy_Type_Code,10000.0,0.402,0.6610897851051678,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.3842397583202475,0.5903127956552918
Curing_Agent_Ratio,10000.0,1.0007112999999999,0.11505716304249265,0.8,0.821,0.902,1.002,1.101,1.179,1.2,-0.019653369799396293,-1.1998409533263512
Coating_Thickness_um,10000.0,114.86802,48.614643839476635,30.0,39.0,72.8,114.9,157.1,190.6,200.0,0.0008898761388780671,-1.195993181883901
Coating_Age_days,10000.0,44.45041,25.891790249268805,0.0,4.295000000000004,22.1,44.1,66.7,85.4,90.0,0.02621988952453767,-1.185735343854802
Surface_Prep_Quality_0_100,10000.0,50.45097,28.955350356894822,0.0,5.6,25.175,50.7,75.7,95.4,100.0,-0.012858033893282895,-1.2077274614926605
Temperature_C,10000.0,50.271570000000004,17.35805579393022,20.0,23.0,35.2,50.4,65.4,77.2,80.0,-0.0184402570609239,-1.1968467932227744
Humidity_percent,10000.0,67.2451,15.825651427802633,40.0,42.8,53.5,67.3,80.8,92.2,95.0,0.014111419483362435,-1.197939939964357
pH,10000.0,6.974926000000001,2.314276021107722,3.0,3.41,4.95,6.95,9.0,10.58,11.0,0.019942559044213586,-1.2135698382811364
Chloride_Concentration_ppm,10000.0,17505.0943,10085.91094809848,100.0,1786.5500000000004,8715.5,17551.0,26174.25,33244.1,34993.0,0.004288602862514137,-1.2049239684105135
Dissolved_Oxygen_ppm,10000.0,5.002704,2.8827347231981704,0.0,0.5,2.47,5.03,7.5,9.460499999999994,10.0,-0.011223607174706912,-1.19684758421406
Sulfide_H2S_ppm,10000.0,250.93145,145.23131803943477,0.0,24.995000000000005,124.8,251.14999999999998,378.225,474.0,499.9,-0.01400640320300391,-1.2195583684542997
Applied_Potential_mV_vs_SCE,10000.0,-399.1648,233.32102500853006,-800.0,-761.0,-605.0,-396.5,-193.0,-40.0,0.0,-0.009284973307904242,-1.2273274752332968
Exposure_Time_hours,10000.0,4380.94161,2511.8516603756643,1.4,458.2200000000001,2223.575,4398.6,6523.625,8315.52,8759.1,-0.0019412614040369464,-1.1832511648755926
Substrate_Type_Code,10000.0,0.2606,0.5498344039683027,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.018196228835789,3.0256763195215775
Corrosion_Rate_uA_cm2,10000.0,142.727707,157.77370656462523,0.01,6.2185000000000015,23.4225,71.61500000000001,211.7575,500.0,500.0,1.2214702455203859,0.18387051864286086
