Feature,Importance
Temperature_C,0.709372098662907
Coating_Thickness_um,0.1623106275415352
SiO2_Content_%,0.04923535394845751
Exposure_Time_hours,0.02131898665336663
Surface_Prep_Quality_0_100,0.017145713693285852
Chloride_Concentration_ppm,0.016410511936930827
Epoxy_Type_Code,0.00626994190779823
Substrate_Type_Code,0.005578106256829663
Applied_Potential_mV_vs_SCE,0.0036046973719463344
Humidity_percent,0.003453188248862897
pH,0.0022647217713031033
Sulfide_H2S_ppm,0.0015636938058338436
Coating_Age_days,0.0013690910382218142
Dissolved_Oxygen_ppm,0.00010326716272126192
Curing_Agent_Ratio,0.0
